	Homo-sapiens	Pan-troglodytes	Macaca-mulatta	Callithrix-jacchus	Pongo-abelii	Nomascus-leucogenys	Otolemur-garnettii	Pan-paniscus	Papio-anubis	Saimiri-boliviensis	Gorilla-gorilla	Macaca-fascicularis	Chlorocebus-sabaeus	Carlito-syrichta	Rhinopithecus-roxellana	Macaca-nemestrina	Colobus-angolensis	Mandrillus-leucophaeus	Cercocebus-atys	Aotus-nancymaae	Propithecus-coquereli	Microcebus-murinus	Cebus-imitator	Rhinopithecus-bieti	Piliocolobus-tephrosceles	Theropithecus-gelada	Hylobates-moloch	Sapajus-apella	Trachypithecus-francoisi	Lemur-catta	Macaca-thibetana	Nycticebus-coucang	Pongo-pygmaeus	Symphalangus-syndactylus	Eulemur-rufifrons
Propithecus-coquereli	0.048387096774193505	0.04704301075268813	0.043010752688172005	0.048387096774193505	0.048387096774193505	0.048387096774193505	0.034946236559139754	0.045698924731182755	0.043010752688172005	0.04435483870967738	0.045698924731182755	0.043010752688172005	0.04166666666666663	0.06989247311827962	0.04435483870967738	0.043010752688172005	0.045698924731182755	0.045698924731182755	0.04704301075268813	0.04435483870967738	0.0	0.012096774193548376	0.04704301075268813	0.045698924731182755	0.045698924731182755	0.043010752688172005	0.04704301075268813	0.045698924731182755	0.045698924731182755	0.020161290322580627	0.043010752688172005	0.03629032258064513	0.04704301075268813	0.04973118279569888	0.022849462365591378
Microcebus-murinus	0.043010752688172005	0.04166666666666663	0.037634408602150504	0.045698924731182755	0.043010752688172005	0.043010752688172005	0.03091397849462363	0.040322580645161255	0.037634408602150504	0.03897849462365588	0.040322580645161255	0.037634408602150504	0.03629032258064513	0.0658602150537635	0.03897849462365588	0.037634408602150504	0.040322580645161255	0.040322580645161255	0.04166666666666663	0.03897849462365588	0.012096774193548376	0.0	0.04166666666666663	0.040322580645161255	0.040322580645161255	0.037634408602150504	0.04435483870967738	0.040322580645161255	0.040322580645161255	0.010752688172043001	0.037634408602150504	0.032258064516129004	0.04166666666666663	0.04435483870967738	0.013440860215053752
Cebus-imitator	0.014784946236559127	0.017473118279569877	0.014784946236559127	0.012096774193548376	0.014784946236559127	0.014784946236559127	0.04435483870967738	0.014784946236559127	0.014784946236559127	0.008064516129032251	0.016129032258064502	0.014784946236559127	0.016129032258064502	0.06854838709677424	0.016129032258064502	0.014784946236559127	0.017473118279569877	0.014784946236559127	0.016129032258064502	0.008064516129032251	0.04704301075268813	0.04166666666666663	0.0	0.017473118279569877	0.017473118279569877	0.014784946236559127	0.016129032258064502	0.0013440860215053752	0.018817204301075252	0.043010752688172005	0.014784946236559127	0.051075268817204256	0.016129032258064502	0.016129032258064502	0.040322580645161255
Rhinopithecus-bieti	0.010752688172043001	0.013440860215053752	0.005376344086021501	0.016129032258064502	0.018817204301075252	0.016129032258064502	0.048387096774193505	0.013440860215053752	0.005376344086021501	0.020161290322580627	0.012096774193548376	0.005376344086021501	0.006720430107526876	0.06720430107526887	0.0013440860215053752	0.005376344086021501	0.005376344086021501	0.008064516129032251	0.009408602150537626	0.014784946236559127	0.045698924731182755	0.040322580645161255	0.017473118279569877	0.0	0.005376344086021501	0.005376344086021501	0.017473118279569877	0.016129032258064502	0.006720430107526876	0.040322580645161255	0.005376344086021501	0.05510752688172038	0.017473118279569877	0.017473118279569877	0.040322580645161255
Piliocolobus-tephrosceles	0.010752688172043001	0.013440860215053752	0.0026881720430107503	0.016129032258064502	0.018817204301075252	0.016129032258064502	0.048387096774193505	0.013440860215053752	0.0026881720430107503	0.020161290322580627	0.012096774193548376	0.0026881720430107503	0.0040322580645161255	0.06720430107526887	0.0040322580645161255	0.0026881720430107503	0.0	0.005376344086021501	0.006720430107526876	0.014784946236559127	0.045698924731182755	0.040322580645161255	0.017473118279569877	0.005376344086021501	0.0	0.0026881720430107503	0.017473118279569877	0.016129032258064502	0.0040322580645161255	0.040322580645161255	0.0026881720430107503	0.05510752688172038	0.017473118279569877	0.017473118279569877	0.040322580645161255
Theropithecus-gelada	0.008064516129032251	0.010752688172043001	0.0	0.013440860215053752	0.016129032258064502	0.013440860215053752	0.045698924731182755	0.010752688172043001	0.0	0.017473118279569877	0.009408602150537626	0.0	0.0013440860215053752	0.06451612903225812	0.0040322580645161255	0.0	0.0026881720430107503	0.0026881720430107503	0.0040322580645161255	0.012096774193548376	0.043010752688172005	0.037634408602150504	0.014784946236559127	0.005376344086021501	0.0026881720430107503	0.0	0.014784946236559127	0.013440860215053752	0.0040322580645161255	0.037634408602150504	0.0	0.05241935483870963	0.014784946236559127	0.014784946236559127	0.037634408602150504
Hylobates-moloch	0.012096774193548376	0.012096774193548376	0.014784946236559127	0.020161290322580627	0.009408602150537626	0.0013440860215053752	0.04973118279569888	0.012096774193548376	0.014784946236559127	0.018817204301075252	0.010752688172043001	0.014784946236559127	0.016129032258064502	0.071236559139785	0.016129032258064502	0.014784946236559127	0.017473118279569877	0.014784946236559127	0.016129032258064502	0.016129032258064502	0.04704301075268813	0.04435483870967738	0.016129032258064502	0.017473118279569877	0.017473118279569877	0.014784946236559127	0.0	0.014784946236559127	0.018817204301075252	0.04435483870967738	0.014784946236559127	0.053763440860215006	0.008064516129032251	0.0026881720430107503	0.04435483870967738
Sapajus-apella	0.013440860215053752	0.016129032258064502	0.013440860215053752	0.010752688172043001	0.016129032258064502	0.013440860215053752	0.043010752688172005	0.013440860215053752	0.013440860215053752	0.006720430107526876	0.014784946236559127	0.013440860215053752	0.014784946236559127	0.06720430107526887	0.014784946236559127	0.013440860215053752	0.016129032258064502	0.013440860215053752	0.014784946236559127	0.006720430107526876	0.045698924731182755	0.040322580645161255	0.0013440860215053752	0.016129032258064502	0.016129032258064502	0.013440860215053752	0.014784946236559127	0.0	0.017473118279569877	0.043010752688172005	0.013440860215053752	0.04973118279569888	0.014784946236559127	0.014784946236559127	0.040322580645161255
Trachypithecus-francoisi	0.012096774193548376	0.014784946236559127	0.0040322580645161255	0.017473118279569877	0.020161290322580627	0.017473118279569877	0.048387096774193505	0.014784946236559127	0.0040322580645161255	0.021505376344086002	0.013440860215053752	0.0040322580645161255	0.005376344086021501	0.06854838709677424	0.005376344086021501	0.0040322580645161255	0.0040322580645161255	0.006720430107526876	0.008064516129032251	0.016129032258064502	0.045698924731182755	0.040322580645161255	0.018817204301075252	0.006720430107526876	0.0040322580645161255	0.0040322580645161255	0.018817204301075252	0.017473118279569877	0.0	0.040322580645161255	0.0040322580645161255	0.05510752688172038	0.018817204301075252	0.018817204301075252	0.040322580645161255
Lemur-catta	0.043010752688172005	0.04166666666666663	0.037634408602150504	0.045698924731182755	0.04166666666666663	0.043010752688172005	0.034946236559139754	0.043010752688172005	0.037634408602150504	0.04166666666666663	0.04166666666666663	0.037634408602150504	0.03629032258064513	0.06720430107526887	0.03897849462365588	0.037634408602150504	0.040322580645161255	0.040322580645161255	0.04166666666666663	0.04166666666666663	0.020161290322580627	0.010752688172043001	0.043010752688172005	0.040322580645161255	0.040322580645161255	0.037634408602150504	0.04435483870967738	0.043010752688172005	0.040322580645161255	0.0	0.037634408602150504	0.037634408602150504	0.04166666666666663	0.04435483870967738	0.005376344086021501
Macaca-thibetana	0.008064516129032251	0.010752688172043001	0.0	0.013440860215053752	0.016129032258064502	0.013440860215053752	0.045698924731182755	0.010752688172043001	0.0	0.017473118279569877	0.009408602150537626	0.0	0.0013440860215053752	0.06451612903225812	0.0040322580645161255	0.0	0.0026881720430107503	0.0026881720430107503	0.0040322580645161255	0.012096774193548376	0.043010752688172005	0.037634408602150504	0.014784946236559127	0.005376344086021501	0.0026881720430107503	0.0	0.014784946236559127	0.013440860215053752	0.0040322580645161255	0.037634408602150504	0.0	0.05241935483870963	0.014784946236559127	0.014784946236559127	0.037634408602150504
Nycticebus-coucang	0.05510752688172038	0.053763440860215006	0.05241935483870963	0.05510752688172038	0.06048387096774188	0.05510752688172038	0.014784946236559127	0.05241935483870963	0.05241935483870963	0.051075268817204256	0.056451612903225756	0.05241935483870963	0.053763440860215006	0.07392473118279574	0.053763440860215006	0.05241935483870963	0.05510752688172038	0.053763440860215006	0.05510752688172038	0.048387096774193505	0.03629032258064513	0.032258064516129004	0.051075268817204256	0.05510752688172038	0.05510752688172038	0.05241935483870963	0.053763440860215006	0.04973118279569888	0.05510752688172038	0.037634408602150504	0.05241935483870963	0.0	0.05913978494623651	0.056451612903225756	0.034946236559139754
Pongo-pygmaeus	0.012096774193548376	0.012096774193548376	0.014784946236559127	0.020161290322580627	0.0013440860215053752	0.006720430107526876	0.05241935483870963	0.012096774193548376	0.014784946236559127	0.016129032258064502	0.010752688172043001	0.014784946236559127	0.013440860215053752	0.071236559139785	0.016129032258064502	0.014784946236559127	0.017473118279569877	0.014784946236559127	0.016129032258064502	0.016129032258064502	0.04704301075268813	0.04166666666666663	0.016129032258064502	0.017473118279569877	0.017473118279569877	0.014784946236559127	0.008064516129032251	0.014784946236559127	0.018817204301075252	0.04166666666666663	0.014784946236559127	0.05913978494623651	0.0	0.008064516129032251	0.04166666666666663
Symphalangus-syndactylus	0.012096774193548376	0.012096774193548376	0.014784946236559127	0.020161290322580627	0.009408602150537626	0.0013440860215053752	0.04973118279569888	0.012096774193548376	0.014784946236559127	0.018817204301075252	0.010752688172043001	0.014784946236559127	0.016129032258064502	0.07392473118279574	0.016129032258064502	0.014784946236559127	0.017473118279569877	0.014784946236559127	0.016129032258064502	0.016129032258064502	0.04973118279569888	0.04435483870967738	0.016129032258064502	0.017473118279569877	0.017473118279569877	0.014784946236559127	0.0026881720430107503	0.014784946236559127	0.018817204301075252	0.04435483870967738	0.014784946236559127	0.056451612903225756	0.008064516129032251	0.0	0.04435483870967738
Eulemur-rufifrons	0.043010752688172005	0.04166666666666663	0.037634408602150504	0.043010752688172005	0.04166666666666663	0.043010752688172005	0.034946236559139754	0.040322580645161255	0.037634408602150504	0.03897849462365588	0.04166666666666663	0.037634408602150504	0.03629032258064513	0.06451612903225812	0.03897849462365588	0.037634408602150504	0.040322580645161255	0.040322580645161255	0.04166666666666663	0.03897849462365588	0.022849462365591378	0.013440860215053752	0.040322580645161255	0.040322580645161255	0.040322580645161255	0.037634408602150504	0.04435483870967738	0.040322580645161255	0.040322580645161255	0.005376344086021501	0.037634408602150504	0.034946236559139754	0.04166666666666663	0.04435483870967738	0.0
